order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id
2850500678,97145527,29-03-2024 01:27,29-03-2024 01:46,29-03-2024 01:59,Slightly Delayed,4817.54,Cash,32423,6208603997
7171106490,45835229,17-08-2023 15:46,17-08-2023 15:59,17-08-2023 15:57,On Time,922.44,Cash,2312,9321628569
3829771237,25578646,23-11-2023 23:46,24-11-2023 00:05,24-11-2023 00:08,On Time,4154.91,Cash,87568,1297200837
1316777473,52002897,16-12-2023 13:15,16-12-2023 13:34,16-12-2023 14:01,Significantly Delayed,1861.67,Cash,43840,309610785
7511736375,68604506,12-06-2023 14:40,12-06-2023 14:54,12-06-2023 15:03,Slightly Delayed,3615.89,UPI,53285,1783577265
9078729924,6283049,22-10-2024 20:51,22-10-2024 21:06,22-10-2024 21:01,On Time,3170.83,Cash,34990,8955389649
3818630716,33845548,24-11-2024 01:43,24-11-2024 01:59,24-11-2024 01:58,On Time,3949.11,Wallet,28841,6917830210
8585415558,19595742,02-07-2024 01:37,02-07-2024 01:54,02-07-2024 01:59,On Time,2852.03,Cash,51303,9905144987
1069569617,89748638,29-12-2023 08:59,29-12-2023 09:15,29-12-2023 09:34,Significantly Delayed,3043.32,Cash,29913,5592231657
192325016,13680237,09-08-2024 17:14,09-08-2024 17:34,09-08-2024 17:29,On Time,3396.11,Card,44752,541565961
9687670406,69884896,20-08-2023 02:58,20-08-2023 03:16,20-08-2023 03:22,Slightly Delayed,1652.04,Wallet,76792,9510121423
2304449471,64970603,06-10-2024 12:29,06-10-2024 12:45,06-10-2024 12:52,Slightly Delayed,835.7,Wallet,80216,2551593371
969452191,85646829,16-09-2024 06:40,16-09-2024 06:59,16-09-2024 06:59,On Time,828.79,Wallet,93614,1855914780
4088350993,27277351,11-05-2023 18:50,11-05-2023 19:06,11-05-2023 19:08,On Time,2260.79,Wallet,53085,7810814002
2779255026,33425377,15-06-2023 04:36,15-06-2023 04:54,15-06-2023 05:01,Slightly Delayed,1646.51,Card,92429,9984479521
3144468812,40010392,19-10-2023 14:20,19-10-2023 14:30,19-10-2023 14:33,On Time,280.32,UPI,12333,5487618348
7247346786,55198053,25-07-2024 00:01,25-07-2024 00:12,25-07-2024 00:22,Slightly Delayed,3401.22,UPI,68764,3218830692
5025845984,15121021,11-03-2023 23:38,11-03-2023 23:50,11-03-2023 23:50,On Time,1744.13,Wallet,10083,9977590417
494185217,85493600,13-08-2024 19:03,13-08-2024 19:23,13-08-2024 19:28,On Time,1155.98,Cash,62015,3672341596
3209159169,72425987,23-02-2023 12:17,23-02-2023 12:31,23-02-2023 12:34,On Time,4646.04,Card,6921,1998084501
1736691823,13290305,20-07-2024 01:45,20-07-2024 01:57,20-07-2024 02:15,Significantly Delayed,3209.19,UPI,77408,5172309008
7593471025,4686595,17-07-2024 11:55,17-07-2024 12:06,17-07-2024 12:21,Slightly Delayed,1520.95,Card,84898,5721033370
9853270521,17468859,13-02-2023 22:42,13-02-2023 22:53,13-02-2023 22:52,On Time,3454.38,UPI,78321,8674256936
